action,correlation_with_dropout
called,-0.24276382261170268
downloaded,-0.22102543022607463
created,-0.22030129518890465
sent,-0.21153549099186963
uploaded,-0.20749404497052187
submitted,-0.19257891925564175
graded,-0.19010393251654834
started,-0.18216190825018708
searched,-0.1786332373308828
launched,-0.17457681816713497
view,-0.16409235531014568
reviewed,-0.16065443014794228
updated,-0.12889937132118506
deleted,-0.12014163383976822
added,-0.08710791864157758
accepted,-0.08288300833399406
reset,-0.08129280477126172
removed,-0.040714025668446736
failed,-0.03761423162142254
unblocked,-0.012569595513631241
blocked,-0.012158558181495393
disabled,0.0004469140310554327
comment,0.007730345160464368
map,0.007730345160464368
enrol,0.007730345160464442
delete,0.007730345160464446
ltol_get_users_courses,0.009094541769003508
update post,0.009759295734256452
ltol_ws_put_track,0.010283269190517952
view summary,0.010372151214824965
ltol_ws_get_asset,0.010389343906798581
block contact,0.010933419486645456
error,0.0109334194866455
add,0.010933419486645567
stop tracking,0.010933419486645666
start tracking,0.010933419486645666
ltol_ws_ltol_get_courses,0.012458503427568338
ltol_get_categories,0.012458503427568338
core_course_get_contents,0.012588264404346789
upload,0.01397483848845671
talk,0.015465191031417956
mark read,0.015465191031418022
core_enrol_get_users_courses,0.01591778651410693
add post,0.01608308980689722
automatically create user token,0.016506832286172123
sending requested user token,0.016506832286172123
remove contact,0.017292287508210453
unsubscribeall,0.017292287508210564
core_webservice_get_site_info,0.019103825352558067
launch,0.0208388174499552
report,0.022554742912583067
review,0.022955649076005624
close attempt,0.022955649076005624
continue attempt,0.02362939472713156
history,0.02468356439942661
attempt,0.02491935508754435
view subscriber,0.024919355087544486
update,0.025692767394997793
pre-view,0.02608522233896256
unsubscribe,0.029605656018712373
write,0.0317964387775675
subscribeall,0.031932470975683955
add contact,0.03429635558356121
add discussion,0.038598263477292935
search,0.03974909884250348
view forums,0.04741851198177883
view discussion,0.04883737378650558
subscribe,0.05026117863421977
view forum,0.05429919274387814
view all,0.057173661382098936
user report,0.05788427162806702
recent,0.05929477319528833
