course,num_dead_actions,dead_actions_list
1,68,"add, remove contact, history, block contact, pre-view, launch recent, error, unblock contact, automatically create user token, sending requested user token, core_webservice_get_site_info, ltol_get_categories, core_enrol_get_users_courses, launch, ltol_ws_ltol_get_courses, core_course_get_contents, ltol_ws_get_asset, ltol_ws_put_track, talk, report, attempt, continue attempt, view summary, close attempt, review, edit, mark read, ltol_get_users_courses, stop tracking, start tracking, upload, assign, enrol, delete discussion, delete post, editvideos, mail blocked, delete, trk: l2lscorm at: 9, comment, map, open, add entry, trk: l2lscorm at: 1, diff, report outline, report log, edit entry, trk: l2lscorm at: 3, trk: l2lscorm at: 2, add page, flag, trk: l2lscorm at: 4, called, updated, reset, failed, added, deleted, blocked, unblocked, disabled, removed, accepted, assigned, restored, unassigned, abandoned"
2,65,"write, unsubscribe, add, add contact, remove contact, history, block contact, pre-view, launch recent, error, unblock contact, automatically create user token, sending requested user token, core_webservice_get_site_info, ltol_get_categories, core_enrol_get_users_courses, launch, ltol_ws_ltol_get_courses, core_course_get_contents, ltol_ws_get_asset, ltol_ws_put_track, talk, report, attempt, continue attempt, view summary, close attempt, review, edit, ltol_get_users_courses, unsubscribeall, assign, enrol, delete discussion, delete post, editvideos, mail blocked, delete, trk: l2lscorm at: 9, comment, map, open, add entry, trk: l2lscorm at: 1, diff, report outline, report log, edit entry, trk: l2lscorm at: 3, trk: l2lscorm at: 2, add page, flag, trk: l2lscorm at: 4, launched, failed, deleted, blocked, unblocked, disabled, removed, accepted, assigned, restored, unassigned, abandoned"
3,74,"add, add contact, remove contact, block contact, pre-view, launch recent, error, unblock contact, automatically create user token, sending requested user token, core_webservice_get_site_info, ltol_get_categories, core_enrol_get_users_courses, launch, ltol_ws_ltol_get_courses, core_course_get_contents, ltol_ws_get_asset, ltol_ws_put_track, attempt, continue attempt, view summary, close attempt, review, edit, mark read, ltol_get_users_courses, upload, assign, enrol, delete discussion, delete post, editvideos, mail blocked, delete, trk: l2lscorm at: 9, comment, map, open, add entry, trk: l2lscorm at: 1, diff, report outline, report log, edit entry, trk: l2lscorm at: 3, trk: l2lscorm at: 2, add page, flag, trk: l2lscorm at: 4, created, sent, called, searched, uploaded, updated, downloaded, launched, graded, submitted, reset, started, reviewed, failed, added, deleted, blocked, unblocked, disabled, removed, accepted, assigned, restored, unassigned, abandoned"
4,65,"update, add discussion, unsubscribe, add, add contact, remove contact, history, block contact, update post, pre-view, launch recent, error, unblock contact, automatically create user token, sending requested user token, core_webservice_get_site_info, ltol_get_categories, core_enrol_get_users_courses, launch, ltol_ws_ltol_get_courses, core_course_get_contents, ltol_ws_get_asset, ltol_ws_put_track, talk, report, view summary, edit, mark read, ltol_get_users_courses, stop tracking, start tracking, view subscriber, upload, unsubscribeall, assign, enrol, delete discussion, delete post, editvideos, mail blocked, delete, trk: l2lscorm at: 9, comment, map, open, add entry, trk: l2lscorm at: 1, diff, report outline, report log, edit entry, trk: l2lscorm at: 3, trk: l2lscorm at: 2, add page, flag, trk: l2lscorm at: 4, reset, blocked, unblocked, disabled, removed, assigned, restored, unassigned, abandoned"
5,64,"remove contact, block contact, pre-view, launch recent, error, unblock contact, automatically create user token, sending requested user token, core_webservice_get_site_info, ltol_get_categories, core_enrol_get_users_courses, launch, ltol_ws_ltol_get_courses, core_course_get_contents, ltol_ws_get_asset, ltol_ws_put_track, talk, attempt, continue attempt, view summary, close attempt, review, edit, ltol_get_users_courses, stop tracking, start tracking, view subscriber, assign, enrol, delete discussion, delete post, editvideos, mail blocked, trk: l2lscorm at: 9, comment, map, open, add entry, trk: l2lscorm at: 1, diff, report outline, report log, edit entry, trk: l2lscorm at: 3, trk: l2lscorm at: 2, add page, flag, trk: l2lscorm at: 4, sent, uploaded, reset, reviewed, failed, added, deleted, blocked, unblocked, disabled, removed, accepted, assigned, restored, unassigned, abandoned"
6,61,"add, remove contact, history, block contact, pre-view, launch recent, error, unblock contact, automatically create user token, sending requested user token, core_webservice_get_site_info, ltol_get_categories, core_enrol_get_users_courses, launch, ltol_ws_ltol_get_courses, core_course_get_contents, ltol_ws_get_asset, ltol_ws_put_track, talk, attempt, continue attempt, view summary, close attempt, review, edit, mark read, ltol_get_users_courses, stop tracking, start tracking, unsubscribeall, assign, enrol, delete discussion, delete post, editvideos, mail blocked, delete, trk: l2lscorm at: 9, comment, map, open, add entry, trk: l2lscorm at: 1, diff, report outline, report log, edit entry, trk: l2lscorm at: 3, trk: l2lscorm at: 2, add page, flag, trk: l2lscorm at: 4, reset, blocked, unblocked, disabled, accepted, assigned, restored, unassigned, abandoned"
7,67,"unsubscribe, add, block contact, update post, pre-view, launch recent, error, unblock contact, automatically create user token, sending requested user token, core_webservice_get_site_info, ltol_get_categories, core_enrol_get_users_courses, launch, ltol_ws_ltol_get_courses, core_course_get_contents, ltol_ws_get_asset, ltol_ws_put_track, talk, attempt, continue attempt, view summary, close attempt, review, edit, ltol_get_users_courses, stop tracking, start tracking, unsubscribeall, assign, delete discussion, delete post, editvideos, mail blocked, delete, trk: l2lscorm at: 9, comment, map, open, add entry, trk: l2lscorm at: 1, diff, report outline, report log, edit entry, trk: l2lscorm at: 3, trk: l2lscorm at: 2, add page, flag, trk: l2lscorm at: 4, launched, graded, submitted, started, reviewed, failed, added, deleted, blocked, unblocked, disabled, removed, accepted, assigned, restored, unassigned, abandoned"
8,53,"add, block contact, update post, pre-view, launch recent, unblock contact, automatically create user token, sending requested user token, core_webservice_get_site_info, ltol_get_categories, core_enrol_get_users_courses, launch, ltol_ws_ltol_get_courses, core_course_get_contents, ltol_ws_get_asset, ltol_ws_put_track, talk, edit, mark read, ltol_get_users_courses, stop tracking, start tracking, view subscriber, assign, enrol, delete discussion, delete post, editvideos, mail blocked, delete, trk: l2lscorm at: 9, comment, map, open, add entry, trk: l2lscorm at: 1, diff, report outline, report log, edit entry, trk: l2lscorm at: 3, trk: l2lscorm at: 2, add page, flag, trk: l2lscorm at: 4, blocked, unblocked, disabled, accepted, assigned, restored, unassigned, abandoned"
9,48,"update, subscribe, view forums, unsubscribe, subscribeall, remove contact, history, block contact, update post, launch recent, add post, error, unblock contact, talk, edit, mark read, stop tracking, start tracking, view subscriber, upload, unsubscribeall, assign, enrol, delete discussion, delete post, editvideos, mail blocked, delete, trk: l2lscorm at: 9, comment, map, open, add entry, trk: l2lscorm at: 1, diff, report outline, report log, edit entry, trk: l2lscorm at: 3, trk: l2lscorm at: 2, add page, flag, trk: l2lscorm at: 4, disabled, assigned, restored, unassigned, abandoned"
10,43,"subscribeall, add, history, update post, launch recent, unblock contact, view summary, close attempt, review, edit, mark read, stop tracking, start tracking, view subscriber, upload, unsubscribeall, assign, enrol, delete discussion, delete post, editvideos, mail blocked, delete, trk: l2lscorm at: 9, comment, map, open, add entry, trk: l2lscorm at: 1, diff, report outline, report log, edit entry, trk: l2lscorm at: 3, trk: l2lscorm at: 2, add page, flag, trk: l2lscorm at: 4, disabled, assigned, restored, unassigned, abandoned"
