course,threshold,pct_dropout
1,0.1,91.15
1,0.2,91.15
1,0.3,91.15
1,0.4,91.15
1,0.5,91.15
1,0.6,91.15
1,0.7,91.15
1,0.8,91.15
1,0.9,90.27
2,0.1,93.2
2,0.2,93.2
2,0.3,93.2
2,0.4,93.2
2,0.5,93.2
2,0.6,93.2
2,0.7,93.2
2,0.8,93.2
2,0.9,93.2
3,0.1,100.0
3,0.2,100.0
3,0.3,100.0
3,0.4,100.0
3,0.5,98.67
3,0.6,98.67
3,0.7,98.67
3,0.8,98.67
3,0.9,98.67
4,0.1,97.19
4,0.2,97.19
4,0.3,97.19
4,0.4,97.19
4,0.5,97.19
4,0.6,97.19
4,0.7,97.19
4,0.8,97.19
4,0.9,97.19
5,0.1,99.26
5,0.2,97.77
5,0.3,97.4
5,0.4,96.28
5,0.5,96.28
5,0.6,96.28
5,0.7,96.28
5,0.8,96.28
5,0.9,96.28
6,0.1,97.87
6,0.2,96.8
6,0.3,95.1
6,0.4,94.24
6,0.5,93.39
6,0.6,92.96
6,0.7,92.96
6,0.8,92.75
6,0.9,92.54
7,0.1,99.51
7,0.2,99.51
7,0.3,97.55
7,0.4,97.06
7,0.5,97.06
7,0.6,96.08
7,0.7,96.08
7,0.8,96.08
7,0.9,96.08
8,0.1,92.15
8,0.2,92.15
8,0.3,81.33
8,0.4,81.19
8,0.5,74.83
8,0.6,73.21
8,0.7,72.12
8,0.8,67.79
8,0.9,66.71
9,0.1,91.72
9,0.2,91.06
9,0.3,81.47
9,0.4,80.81
9,0.5,69.25
9,0.6,67.54
9,0.7,62.94
9,0.8,59.53
9,0.9,56.77
10,0.1,90.42
10,0.2,80.84
10,0.3,67.44
10,0.4,66.58
10,0.5,59.34
10,0.6,54.55
10,0.7,51.35
10,0.8,50.74
10,0.9,48.4
11,0.1,91.84
11,0.2,90.72
11,0.3,84.97
11,0.4,83.86
11,0.5,76.07
11,0.6,74.4
11,0.7,70.69
11,0.8,69.94
11,0.9,66.6
12,0.1,91.25
12,0.2,90.83
12,0.3,80.83
12,0.4,79.58
12,0.5,68.33
12,0.6,66.67
12,0.7,60.83
12,0.8,57.92
12,0.9,54.17
13,0.1,57.14
13,0.2,57.14
13,0.3,57.14
13,0.4,57.14
13,0.5,57.14
13,0.6,57.14
13,0.7,57.14
13,0.8,57.14
13,0.9,57.14
all,0.1,93.68
all,0.2,91.76
all,0.3,85.36
all,0.4,84.78
all,0.5,79.58
all,0.6,78.01
all,0.7,76.01
all,0.8,74.55
all,0.9,73.06
