course,threshold,pct_dropout
1,0.9,90.27
1,0.91,90.27
1,0.92,90.27
1,0.93,90.27
1,0.94,90.27
1,0.95,90.27
1,0.96,90.27
1,0.97,90.27
1,0.98,90.27
1,0.99,90.27
2,0.9,93.2
2,0.91,93.2
2,0.92,93.2
2,0.93,93.2
2,0.94,93.2
2,0.95,93.2
2,0.96,93.2
2,0.97,93.2
2,0.98,93.2
2,0.99,93.2
3,0.9,98.67
3,0.91,98.67
3,0.92,98.67
3,0.93,98.67
3,0.94,98.67
3,0.95,98.67
3,0.96,98.67
3,0.97,98.67
3,0.98,98.67
3,0.99,98.67
4,0.9,97.19
4,0.91,97.19
4,0.92,97.19
4,0.93,97.19
4,0.94,97.19
4,0.95,97.19
4,0.96,97.19
4,0.97,97.19
4,0.98,97.19
4,0.99,97.19
5,0.9,96.28
5,0.91,96.28
5,0.92,96.28
5,0.93,96.28
5,0.94,96.28
5,0.95,96.28
5,0.96,96.28
5,0.97,96.28
5,0.98,96.28
5,0.99,96.28
6,0.9,92.54
6,0.91,92.32
6,0.92,92.32
6,0.93,92.32
6,0.94,92.32
6,0.95,92.11
6,0.96,92.11
6,0.97,92.11
6,0.98,92.11
6,0.99,92.11
7,0.9,96.08
7,0.91,96.08
7,0.92,96.08
7,0.93,96.08
7,0.94,96.08
7,0.95,96.08
7,0.96,96.08
7,0.97,96.08
7,0.98,96.08
7,0.99,95.59
8,0.9,66.71
8,0.91,66.71
8,0.92,66.71
8,0.93,66.58
8,0.94,66.58
8,0.95,66.44
8,0.96,66.44
8,0.97,65.76
8,0.98,65.76
8,0.99,65.76
9,0.9,56.77
9,0.91,56.77
9,0.92,56.37
9,0.93,56.37
9,0.94,56.24
9,0.95,56.24
9,0.96,56.11
9,0.97,55.98
9,0.98,55.98
9,0.99,55.98
10,0.9,48.4
10,0.91,48.4
10,0.92,48.28
10,0.93,48.28
10,0.94,46.93
10,0.95,46.93
10,0.96,46.81
10,0.97,46.56
10,0.98,46.56
10,0.99,46.44
11,0.9,66.6
11,0.91,66.6
11,0.92,66.6
11,0.93,66.6
11,0.94,66.6
11,0.95,66.6
11,0.96,66.6
11,0.97,66.6
11,0.98,66.23
11,0.99,66.23
12,0.9,54.17
12,0.91,54.17
12,0.92,54.17
12,0.93,54.17
12,0.94,54.17
12,0.95,53.75
12,0.96,53.33
12,0.97,53.33
12,0.98,53.33
12,0.99,51.67
13,0.9,57.14
13,0.91,57.14
13,0.92,57.14
13,0.93,57.14
13,0.94,57.14
13,0.95,57.14
13,0.96,57.14
13,0.97,57.14
13,0.98,57.14
13,0.99,57.14
all,0.9,73.06
all,0.91,73.04
all,0.92,72.96
all,0.93,72.94
all,0.94,72.71
all,0.95,72.65
all,0.96,72.6
all,0.97,72.44
all,0.98,72.4
all,0.99,72.28
