course,top_1,top_2,top_3,top_4,top_5
1,view (100.0%),view forum (33.6%),view discussion (32.7%),view forums (27.4%),view all (25.7%)
2,view (100.0%),view discussion (5.6%),view forum (5.2%),view all (4.4%),view forums (4.0%)
3,view (100.0%),view forum (32.0%),user report (28.0%),view discussion (28.0%),view all (25.3%)
4,view (100.0%),downloaded (4.4%),submitted (4.3%),called (4.0%),graded (4.0%)
5,view (100.0%),view forum (5.6%),view forums (5.6%),view discussion (5.6%),user report (5.2%)
6,view (100.0%),launched (3.0%),view forum (2.8%),view discussion (2.6%),called (2.6%)
7,view (100.0%),view forum (3.4%),view forums (3.4%),view discussion (3.4%),view all (3.4%)
8,view (100.0%),downloaded (14.5%),called (13.0%),started (12.9%),created (11.5%)
9,view (100.0%),submitted (45.5%),graded (42.7%),launched (34.4%),started (26.5%)
10,view (100.0%),submitted (25.6%),graded (24.3%),launched (24.2%),called (21.4%)
11,view (100.0%),submitted (21.9%),graded (20.2%),created (19.9%),sent (19.7%)
12,view (100.0%),called (25.0%),graded (21.7%),submitted (21.7%),launched (20.0%)
13,view (100.0%),updated (71.4%),sent (57.1%),searched (57.1%),created (42.9%)
all,view (100.0%),submitted (16.4%),graded (15.6%),launched (12.9%),called (12.5%)
