course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_2,LSTM,0.9267,0.9404,0.9843,0.9614,0.8283,0.9788
timeseries_11,LSTM,0.7432,0.7639,0.9593,0.8497,0.6072,0.8202
timeseries_4,LSTM,0.967,0.9703,0.9964,0.9832,0.6962,0.984
timeseries_5,LSTM,0.9593,0.9628,0.9962,0.9792,0.5382,0.9683
timeseries_1,LSTM,0.9118,0.9118,1.0,0.9538,0.436,0.9161
timeseries_6,LSTM,0.9348,0.9431,0.9902,0.966,0.6915,0.9685
timeseries_8,LSTM,0.7392,0.761,0.9512,0.8448,0.6214,0.8032
timeseries_12,LSTM,0.6722,0.6925,0.9327,0.7947,0.5719,0.7223
timeseries_10,LSTM,0.6718,0.7635,0.6469,0.6999,0.7088,0.7674
all_timeseries,LSTM,0.7952,0.7982,0.9937,0.8853,0.707,0.8895
timeseries_9,LSTM,0.6729,0.7029,0.9157,0.7952,0.572,0.7217
