course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_2,RandomForest,0.9333,0.9333,1.0,0.9655,0.8661,0.9841
timeseries_2,LogisticRegression,0.956,0.9551,1.0,0.977,0.662,0.9507
timeseries_11,RandomForest,0.7364,0.8043,0.8642,0.8324,0.7375,0.9004
timeseries_11,LogisticRegression,0.6846,0.7977,0.7886,0.7906,0.5816,0.7848
timeseries_4,RandomForest,0.9704,0.9704,1.0,0.985,0.8569,0.9936
timeseries_4,LogisticRegression,0.9517,0.9742,0.9761,0.9751,0.4399,0.9557
timeseries_5,RandomForest,0.963,0.963,1.0,0.9811,0.5624,0.9702
timeseries_5,LogisticRegression,0.963,0.9664,0.9962,0.9811,0.6276,0.9745
timeseries_1,RandomForest,0.9529,0.978,0.971,0.9741,0.8177,0.9646
timeseries_1,LogisticRegression,0.9029,0.9186,0.9806,0.9485,0.8575,0.9787
timeseries_6,RandomForest,0.9426,0.9447,0.997,0.9701,0.8972,0.9913
timeseries_6,LogisticRegression,0.9376,0.9503,0.9848,0.9673,0.6334,0.9455
timeseries_8,RandomForest,0.7383,0.7782,0.909,0.8384,0.7784,0.913
timeseries_8,LogisticRegression,0.718,0.7783,0.8711,0.8218,0.6444,0.7997
timeseries_12,RandomForest,0.6958,0.7509,0.8347,0.7883,0.7517,0.87
timeseries_12,LogisticRegression,0.5931,0.6926,0.7347,0.7093,0.5488,0.7012
timeseries_10,RandomForest,0.6984,0.7813,0.6821,0.728,0.7498,0.8083
timeseries_10,LogisticRegression,0.6473,0.7515,0.6041,0.6694,0.6154,0.6756
all_timeseries,RandomForest,0.7978,0.8103,0.9739,0.8846,0.8042,0.9389
all_timeseries,LogisticRegression,0.7849,0.8099,0.9535,0.8759,0.6199,0.8183
timeseries_9,RandomForest,0.6917,0.7166,0.9195,0.8054,0.6785,0.8344
timeseries_9,LogisticRegression,0.6472,0.7108,0.8289,0.7652,0.5485,0.7017
