course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_6,RandomForest,0.9475,0.9515,0.9947,0.9726,0.8168,0.9768
timeseries_6,LogisticRegression,0.9333,0.9469,0.9841,0.9651,0.5459,0.9388
timeseries_11,RandomForest,0.7691,0.7801,0.9691,0.8643,0.7342,0.8881
timeseries_11,LogisticRegression,0.7463,0.763,0.9659,0.8525,0.598,0.8041
timeseries_9,RandomForest,0.6834,0.7172,0.8981,0.7974,0.6489,0.8129
timeseries_9,LogisticRegression,0.7026,0.7186,0.9396,0.8143,0.6329,0.7632
timeseries_10,RandomForest,0.6624,0.78,0.5993,0.6775,0.704,0.7627
timeseries_10,LogisticRegression,0.6122,0.6138,0.931,0.7397,0.6212,0.6843
timeseries_4,RandomForest,0.969,0.9718,0.997,0.9842,0.7648,0.9874
timeseries_4,LogisticRegression,0.9635,0.9745,0.9883,0.9813,0.5034,0.9708
timeseries_1,RandomForest,0.9118,0.9118,1.0,0.9538,0.7473,0.9541
timeseries_1,LogisticRegression,0.9118,0.9118,1.0,0.9538,0.7661,0.9598
timeseries_12,RandomForest,0.6639,0.694,0.9061,0.7839,0.7025,0.8404
timeseries_12,LogisticRegression,0.6778,0.6966,0.9327,0.7971,0.5901,0.7254
all_timeseries,RandomForest,0.7952,0.8139,0.9628,0.8821,0.7819,0.9249
all_timeseries,LogisticRegression,0.7954,0.8021,0.9862,0.8847,0.56,0.818
timeseries_2,RandomForest,0.9307,0.9343,0.9957,0.964,0.7956,0.9726
timeseries_2,LogisticRegression,0.9307,0.9403,0.9886,0.9638,0.523,0.9299
timeseries_5,RandomForest,0.963,0.963,1.0,0.9811,0.4571,0.961
timeseries_5,LogisticRegression,0.9617,0.9675,0.9936,0.9803,0.4799,0.9626
timeseries_8,RandomForest,0.7342,0.7786,0.9006,0.835,0.7532,0.8971
timeseries_8,LogisticRegression,0.7347,0.7564,0.9518,0.8429,0.4469,0.7216
