course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_6,LSTM,0.9475,0.9541,0.9917,0.9725,0.8814,0.987
timeseries_11,LSTM,0.7778,0.8447,0.8691,0.8557,0.8102,0.9248
timeseries_9,LSTM,0.6694,0.72,0.861,0.782,0.6816,0.8364
timeseries_10,LSTM,0.7698,0.8485,0.7455,0.7928,0.8327,0.8863
timeseries_4,LSTM,0.968,0.9704,0.9975,0.9837,0.6547,0.9816
timeseries_1,LSTM,0.9118,0.9118,1.0,0.9538,0.5194,0.9447
timeseries_12,LSTM,0.6514,0.7081,0.8408,0.7652,0.6393,0.7972
all_timeseries,LSTM,0.8309,0.91,0.8744,0.8916,0.8832,0.9677
timeseries_2,LSTM,0.94,0.9433,0.9957,0.9688,0.7627,0.9697
timeseries_5,LSTM,0.9568,0.9651,0.991,0.9778,0.7015,0.9805
timeseries_8,LSTM,0.7712,0.827,0.8789,0.8514,0.827,0.9323
